LEAD_ID;NOME LEAD;PERGUNTA;RESPOSTA;ETAPA RESPOSTA PERGUNTA;FUNIL;DATA ULTIMA ATUALIZACAO RESPOSTA;LEAD CICLO ATUAL;CICLO RESPOSTA;DESEJA CONTINUAR A NEGOCIACAO
33809051;Kalenborn do Brasil ;Empresas já registradas no RADAR/ Tem interesse Explicito (Criar pergunta);Não;Entrada;Padrão;27/05/2025 11:51:09;1;1;
33809051;Kalenborn do Brasil ;Como está o faturamento anual da empresa?;De R$5 milhões a R$10 milhões;Entrada;Padrão;27/05/2025 11:51:09;1;1;
33809051;Kalenborn do Brasil ;Demonstram interesse em internacionalização, expansão de operações, acesso a novos mercados e/ou inovação na cadeia de suprimentos?;Sim;Entrada;Padrão;27/05/2025 11:51:09;1;1;
33809051;Kalenborn do Brasil ;Empresa está ativa na Receita Federal?;Sim;Entrada;Padrão;27/05/2025 11:51:09;1;1;
33809058;Agf Equipamentos;Demonstram interesse em internacionalização, expansão de operações, acesso a novos mercados e/ou inovação na cadeia de suprimentos?;Sim;Entrada;Padrão;08/05/2025 12:02:59;1;1;
33809058;Agf Equipamentos;Como está o faturamento anual da empresa?;Até R$1,5milhão;Entrada;Padrão;08/05/2025 12:02:59;1;1;
33809058;Agf Equipamentos;Empresa está ativa na Receita Federal?;Sim;Entrada;Padrão;08/05/2025 12:02:59;1;1;
33809058;Agf Equipamentos;Empresas já registradas no RADAR/ Tem interesse Explicito (Criar pergunta);Não;Entrada;Padrão;08/05/2025 12:02:59;1;1;

